"","Transaction","Menu","Class"
"35223",34702,"Aburi Kaisen Chirashi KM","Dinner KM"
"35224",34702,"Mixed Roll Sushi","Sushi Roll"
"35225",34702,"[8pc]Sp Aburi Salmon Roll","Sushi Roll"
"35226",34702,"Nabeyaki Udon","RiceNoodle"
"35227",34702,"Kids Sushi Udon Meal","Kids"
"35228",34702,"SUN Tofu Cheesecake","Parfait"
"35229",34703,"[SD]Unagi Yakiniku KM","Dinner KM"
"35230",34703,"Ika Ichiya Boshi Aburi","Seafood"
"35231",34703,"Soft Shell Crab Tempura","Seafood"
"35232",34703,"Aburi Sal Hotate Carpaccio","Appetizer"
"35233",34704,"Ringo Highball","Promo"
