"","Transaction","Menu","Class"
"35234",34704,"Niku Atsu Hotate Unagi KM","Dinner KM"
"35235",34704,"[SD]Salmon & Tori KM","Dinner KM"
"35236",34704,"[SD]Aburi Bara Chirashi Set","Sushi Set"
"35237",34704,"[DS]Mt Pork Nabe","Nabe"
"35238",34705,"Sashimi Salad","Appetizer"
"35239",34705,"Edamame","Appetizer"
"35240",34705,"Chawanmushi","Appetizer"
"35241",34705,"Hotate Enoki Beef Roll","MeatVeg"
"35242",34705,"Aus Wagyu Harami Don","RiceNoodle"
"35243",34705,"Premium Seafood KM","Dinner KM"
"35244",34705,"Red Apple Juice 200ml","Non-Alc"
"35245",34705,"SUN Tofu Cheesecake","Parfait"
"35246",34706,"[SD]Unagi & Salmon Chirashi","Sushi Set"
"35247",34706,"[SD]Aus Sirloin Steak","Steak Set"
"35248",34706,"[SD]Aus Sirloin Steak","Steak Set"
"35249",34707,"Pork & Seafood Okonomiyaki","MeatVeg"
"35250",34707,"Dashimaki Tamago","Appetizer"
"35251",34707,"Kids Meal","Kids"
"35252",34707,"Tempura Soba","RiceNoodle"
"35253",34707,"Nabeyaki Udon","RiceNoodle"
"35254",34707,"Unagi Salmon Chirashi","Chirashi"
"35255",34707,"Kaisen Chawanmushi","Appetizer"
"35256",34707,"Chicken Karaage Karikari Gobo","MeatVeg"
"35257",34707,"[SD]Dbl Tori KM","Dinner KM"
"35258",34707,"[SD]Tori & Unagi KM","Dinner KM"
"35259",34707,"Chawanmushi","Appetizer"
"35260",34707,"Egg","Side"
"35261",34708,"Hamachi Kama Yaki","Seafood"
"35262",34708,"Ebi Tempura","Seafood"
"35263",34708,"Mixed Roll Sushi","Sushi Roll"
"35264",34708,"Chawanmushi","Appetizer"
"35265",34709,"Hamachi Kama Yaki","Seafood"
"35266",34709,"Pork Kalbi Yaki","MeatVeg"
"35267",34709,"[4pc]Sp Aburi Salmon Roll","Sushi Roll"
"35268",34709,"[SD]Gindara Teri & Sal Avo Sld","Prem Dinner"
"35269",34710,"[DS]Beef Nabe","Nabe"
"35270",34710,"Canadian Tonkatsu","MeatVeg"
"35271",34710,"[4pc]Avo Soft Shell","Sushi Roll"
"35272",34711,"[DS]Beef Nabe","Nabe"
"35273",34711,"Canadian Tonkatsu","MeatVeg"
"35274",34711,"[4pc]Avo Soft Shell","Sushi Roll"
"35275",34712,"[SD]Hotate Sal Una Chirashi","Sushi Set"
"35276",34712,"[SD]Unagi & Salmon Chirashi","Sushi Set"
"35277",34712,"[SD]Unagi Yakiniku KM","Dinner KM"
"35278",34712,"Aus Wagyu Kalbi Yaki","MeatVeg"
"35279",34713,"Niku Atsu Hotate Unagi KM","Dinner KM"
"35280",34713,"Unagi Yakiniku KM","Dinner KM"
"35281",34714,"Aburi Kaisen Bara Chirashi","Chirashi"
"35282",34714,"Nama Bara Chirashi","Chirashi"
"35283",34715,"Kids Sushi Udon Meal","Kids"
"35284",34715,"[DS]Kaisen Mix Nabe","Nabe"
